ID;kalimat
1; Bu Ani menanam bunga
1; Bunga ditanam Bu Ani
3; Om Andi berangkat ke sekolah besok
3; Besok, Om Andi berangkat ke sekolah
4; Ibu Asih pergi ke rumah Nenek Yanti kemarin
4; Kemarin, Ibu Asih pergi ke rumah Nenek Yanti
5; Kami sekeluarga pergi bertamasya hari Minggu
5; Kami sekeluarga pergi tamasya hari Minggu
5; Kami sekeluarga pergi tamasya pada hari Minggu
5; Pada hari Minggu, kami sekeluarga pergi tamasya
6; Siswa belajar di sekolah
6; Di sekolah, siswa belajar
7; Para siswa sedang berupacara
7; Para siswa sedang upacara
7; Upacara oleh para siswa
8; Om Budi makan permen
8; Permen dimakan Om Budi 
10; Petani menanam padi
10; Padi ditanam Pak Tani
12; Ayah pergi ke kantor
12; Ke kantor ayah pergi
12; Ayah sedang pergi ke kantor
13; Ibu Risna memasak ayam di dapur
13; Ayam dimasak Bu Risna di dapur
13; Di dapur, ayam dimasak Bu Risna
13; Di dapur, Bu Risna memasak ayam
13; Di dapur, Ibu Risna memasak ayam 
15; Adik bermain dengan temannya
15; Teman adik bermain dengan adik
15; Adik dan temannya bermain
15; Adik bersama temannya bermain
15; Temannya adik bermain bersama adik
16; Kakak sedang tidur
16; Kakak tidur
16; Kakak tertidur
17; Adik diajak Paman Nadiem bermain
17; Paman Nadiem mengajak Adik bermain
19; Upacara tadi dipimpin kepala sekolah
19; Upacara tadi dipimpin oleh kepala sekolah
19; kepala sekolah memimpin upacara tadi
19; Tadi, kepala sekolah memimpin upacara
19; Tadi, upacara dipimpin kepala sekolah
21; Mereka menonton pertandingan bola basket hari ini 
21; pertandingan bola basket ditonton mereka hari ini
21; Hari ini, mereka menonton pertandingan bola basket
21; Hari ini, pertandingan bola basket ditonton mereka
21; Pertandingan bola basket hari ini ditonton oleh mereka 
23; Ibu Fio mengajak adik ke pasar
23; Adik diajak Ibu Fio ke pasar
25; Om Irwan mempunyai sepatu baru
25; Sepatu baru dipunyai Om Irwan
27; Semua siswa belajar dengan rajin
27; Semua siswa rajin belajar
28; Para pedagang ramai berjualan di pasar hari ini
28; Hari ini, para pedagang ramai berjualan di pasar
28; Di pasar, para pedagang ramai berjualan hari ini
28; Di pasar hari ini, para pedagang ramai berjualan
28; Hari ini, para pedagang di pasar ramai berjualan  
29; Peserta lomba bersiap di garis start
29; Peserta lomba bersiap-siap di garis start
29; Di garis start, peserta lomba bersiap
29; Di garis start, peserta lomba bersiap-siap
29; Peserta lomba di garis start, bersiap-siap
30; Bu Anna membaca buku kemarin
30; Buku dibaca Bu Anna kemarin
30; Kemarin, buku dibaca Bu Anna
30; Kemarin, Bu Anna membaca buku 
30; Kemarin, Ibu Anna membaca buku
32; Bu Anna membaca buku Bobo
32; Bu Anna sedang membaca buku Bobo
32; Buku Bobo dibaca Bu Anna 
32; Buku Bobo dibaca Ibu Anna 
32; Ibu Anna membaca buku Bobo
35; Syifa membeli Roti Jaya
35; Roti Jaya dibeli Syifa
37; Tante Syifa pergi ke salon Lutuye
37; Tante Syifa sedang pergi ke salon Lutuye
37; Ke salon Lutuye Tante Syifa pergi
38; Zulia mengenakan baju merah
38; Zulia kenakan baju merah
38; Zulia sedang mengenakan baju merah
38; baju merah dikenakan Zulia
38; baju merah sedang dikenakan Zulia
40; Mereka mencetak gol ke gawang lawan
40; Di gawang lawan, mereka mencetak gol 
40; Ke gawang lawan, mereka mencetak gol 
40; Gol ke gawang lawan dicetak mereka
40; Gol di gawang lawan dicetak oleh mereka
42; Mereka melakukan selebrasi
42; Mereka sedang melakukan selebrasi
42; Selebrasi dilakukan mereka
42; Selebrasi dilakukan oleh mereka
42; Selebrasi sedang dilakukan oleh mereka
44; Penonton menyambut Pak Budi dengan riuh
44; Dengan riuh, penonton menyambut Pak Budi
44; Bapak Budi disambut penonton dengan riuh
44; Pak Budi disambut penonton dengan riuh
44; Dengan riuh, Pak Budi disambut penonton
46; Ashita memintal benang wol
46; Ashita sedang memintal benang wol
46; benang wol dipintal Ashita
46; benang wol sedang dipintal Ashita
46; benang wol sedang dipintal oleh Ashita
48; Ashita memintal benang sutra
48; Ashita sedang memintal benang sutra
48; benang sutra dipintal Ashita
48; benang sutra sedang dipintal Ashita
48; benang sutra sedang dipintal oleh Ashita
49; Profesor Joko bermain bola
49; Profesor Joko sedang bermain bola
49; Bola dimainkan Profesor Joko
49; Bola dimainkan oleh Profesor Joko
49; Bola sedang dimainkan Profesor Joko
51; Pak Andi menangis  di  tengah  permainan
51; Di  tengah  permainan, Pak Andi menangis  
52; Ayah tidur
52; Ayah sedang tidur
52; Ayah tertidur
52; Ayah sedang tertidur
53; Risya  bermain  voli
53; Risya sedang  bermain  voli
53; Voli dimainkan Risya
53; Voli sedang dimainkan Risya
53; Voli dimainkan oleh Risya
